Period,Country,Area type,Area code,Area name,Sex,Sex code,Age group,Age code,HLE,LCI,UCI,Proportion (%)
2011 to 2013,England,Local Areas,E06000006,Halton,Male,1,<1,1,58.4,56.1,60.6,76
2011 to 2013,England,Local Areas,E06000006,Halton,Female,2,<1,1,58.7,56.3,61.2,73
2011 to 2013,England,Local Areas,E08000011,Knowsley,Male,1,<1,1,57.2,55.0,59.4,75
2011 to 2013,England,Local Areas,E08000011,Knowsley,Female,2,<1,1,58.0,55.6,60.4,72
2011 to 2013,England,Local Areas,E08000012,Liverpool,Male,1,<1,1,57.2,55.3,59.1,75
2011 to 2013,England,Local Areas,E08000012,Liverpool,Female,2,<1,1,58.0,55.8,60.2,72
2011 to 2013,England,Local Areas,E08000013,St. Helens,Male,1,<1,1,61.3,59.2,63.4,79
2011 to 2013,England,Local Areas,E08000013,St. Helens,Female,2,<1,1,62.1,59.9,64.4,76
2011 to 2013,England,Local Areas,E08000014,Sefton,Male,1,<1,1,61.7,59.5,63.9,79
2011 to 2013,England,Local Areas,E08000014,Sefton,Female,2,<1,1,63.1,61.0,65.3,77
2011 to 2013,England,Local Areas,E08000015,Wirral,Male,1,<1,1,60.2,58.2,62.3,77
2011 to 2013,England,Local Areas,E08000015,Wirral,Female,2,<1,1,61.6,59.3,63.9,75
2011 to 2013,England,Country,E92000001,England,Male,1,<1,1,63.0,62.9,63.2,80
2011 to 2013,England,Country,E92000001,England,Female,2,<1,1,63.9,63.7,64.1,77
2012 to 2014,England,Local Areas,E06000006,Halton,Male,1,<1,1,58.8,56.5,61.1,76
2012 to 2014,England,Local Areas,E06000006,Halton,Female,2,<1,1,59.3,57.0,61.6,74
2012 to 2014,England,Local Areas,E08000011,Knowsley,Male,1,<1,1,58.0,55.6,60.4,76
2012 to 2014,England,Local Areas,E08000011,Knowsley,Female,2,<1,1,58.6,56.1,61.0,73
2012 to 2014,England,Local Areas,E08000012,Liverpool,Male,1,<1,1,57.5,55.5,59.4,75
2012 to 2014,England,Local Areas,E08000012,Liverpool,Female,2,<1,1,58.2,56.0,60.4,72
2012 to 2014,England,Local Areas,E08000013,St. Helens,Male,1,<1,1,60.7,58.6,62.8,78
2012 to 2014,England,Local Areas,E08000013,St. Helens,Female,2,<1,1,61.4,59.1,63.7,75
2012 to 2014,England,Local Areas,E08000014,Sefton,Male,1,<1,1,60.9,58.6,63.2,78
